overall,reviewText,,,,,,,,,,
5,"Awesome case. Offers a lot of protection, doesn't add much bulk at all and provides grip. I would definitely recommend this case especially if you are in the market for a clear case to show off the Nexus logo. I've tried the official Nexus case, Moko clear case, and both Supcase cases and this Poetic case is the best in my opinion for the reasons mentioned. I didn't go with SPIGEN because there cases leave a lot of finger prints and oil residue which bothers me. This case doesn't leave finger prints  because it's clear and its plastic.Update: 28 Jan 16I ordered a new case because my original clear case started turning a little yellow it seemed. The case arrived on time and they actually removed the affinity logo and relocated the P above the finger print scanner! Now the Nexus logo is completely visible. They need to update their pictures to show the new redesign",,,,,,,,,,
5,"3 people in my office all upgraded together. I came from a Galaxy Nexus on Sprint, my buddy came from an iphone 5 on Sprint and my other buddy came from an Evo 3D on Sprint and got the HTC One on T-Mobile. There's a concensus amongst the 3 of us that all phones were beta tests to get to this point.Build quality: Hands down best display and build quality around. The buttons are flush or almost flush and feel very solid and the connectors (headphones and charge port) all feel really solid as well.Boom Sound: I have to say, this is a feature I didn't know I needed until I listened to music for the first time on the speakers. I used to lug a boom box (a $40 Sony from Walmart. Don't get me wrong I know it's a phone and not a full sized stereo) out to my garage to play music while i hit the bag and now I can set my phone on the shelf and it sounds just as good if not better.Software: Sense 5.0 runs amazingly smooth and offers nice improvements over stock android or the old versions of sense. I'm big into rooting my android smartphones and this is the first one that I messed around with after buying and got everything set up and just didn't care to root. I started looking at the ROMs on the developer sites and they all hae certain things not working or are the same as stock sense 5 so I figured why bother? To load a ROM that has less working features than the stock phone? Seems dumb to me. Some may love or hate blink feed, I find it extremely convenient and the operation of it is nice and smooth just like the rest of the interface.Battery Life: Nothing short of Amazing. All the Android phones I've used or seen people using up to this point have crappy battery life. This thing runs for 2 days with medium levels of usage and will do a day and a half with heavy usage. I put my phones through their paces to so I don't doubt you'll be happy with the battery.",,,,,,,,,,
5,Followed the directions to the dot and the protector went on pwrfectly without any air bubbles on the first try! So now we have two extra ones juat in case! Love the texture of these protectors. They are not slippery and yet i can really navigate the screen very accurately. No complaints whatsoever so far!,,,,,,,,,,
5,"Like the compact size, fir into my car outlet perfectly.",,,,,,,,,,
5,nice,,,,,,,,,,
5,"This is the best bluetooth I have ever bought. I have tried many of them and previously had a Jawbone, but I have small ears and never found a good one. I specifically wanted one that could be heard easily and clearly on conference calls - so I took a chance on this one. It is very comfortable, easy to connect to my phone, sounds crystal clear on regular calls as well as conference calls.",,,,,,,,,,
4,Wish it was a combo watch and phone stand. Bought early.,,,,,,,,,,
2,"The case fits fine, but I was disappointed that the case doesn't offer any more grip than the phone. The case feels nice, but the soft touch also makes it feel insecure. Fortunately it was not expensive as it's not really worth the time to send it back.",,,,,,,,,,
5,Magnet is strong and stays well mounted on the vent.  Very versatile.,,,,,,,,,,
5,"VERY sturdy cable. It is twice as thick as other cables I use and should hold up well! The high speed charging kicked in on my S8+. Though a bit stiffer than other cables, it's not a problem for use while charging.",,,,,,,,,,
5,"It doesn't protect the front screen if anyone is wondering, but I love the look of this case! I've had it on for about 2 months now and haven't dropped it yet *knock on the bamboo wood of the phone case* I like the matte black on the sides, and I have no problem accessing the lock button, volume buttons, etc. there's adequate openings for everything. The bamboo wood isn't just a printed image either. I'm no expert in wood, but it looks like real bamboo to me.",,,,,,,,,,
5,"I have been using Spigen screen protectors for two years now.  First on my iphone 4s and now on my galaxy s4.  This screen protector works very well, and cutouts fit perfectly.  As always super easy to apply, got the job done with zero bubbles or blemishes.",,,,,,,,,,
5,"Product as expected, quick ship!",,,,,,,,,,
4,"I really like this case the quality and build is very good and fits very good and snug. It is really good to pack around your credit cards etc. It protects the note 4  fairly decent and I like the texture of the material. The stand works really good so I can prop it up whenever I'm checking out a video or some clips, I have had some cases that will just fall over from the weight of the phone, but this one is pretty sturdy and durable. Pretty good case so far and I have had no problems just yet, except fitting the phone in some of my pants pockets, it is just a little big, but it helps eliminating having to carry extra stuff.DISCLAIMER - I have received this product at a discount for my honest and unbiased review this has not in any way, shape, or form caused me to change my views, ratings,  or comments upon this product nor do i feel like i must give this product a good rating, this is absolutely my own view and rating of the product and my own absolute honest written review of the product. I do not get paid by the company to try to sell or persuade anyone to feel better about the product. Thank you for the opportunity to test out the product.",,,,,,,,,,
4,"I received this item free as a promotion in exchange for a review. To be honest, I do not have a Galaxy s6, so I can't comment on fit. However, this case seems very sturdy and very well made, and I would definitely give it a try with an S6.",,,,,,,,,,
5,Was looking for a more protective case for my Note 3 and this is it.  It completely covers my phone and with the rubbery insets it also manages to stay in my pocket better.,,,,,,,,,,
5,Very nice quality.,,,,,,,,,,
4,"Perfect fit, good price. I just wish it had a front screen Protector",,,,,,,,,,
5,"This review is for the Obliq Slim Meta iPhone 6 Case. I personally look for the ultra-slim cases mainly to protect my phone from scratches and to give me more grip (the iPhone on its own is slippery!). I have never dropped my phone (knock on wood), so having a slim case that doesn't do much in terms of drop protection, is fine by me. This case fits that bill exactly. It is an ultra-slim case that, although it does provide some drop protection, really isn't designed for major drops. The case is made to look like it is forged from metal, but it is plastic. It has slits in each of the four corners, allowing this to be a single piece case that has enough flex to get your phone in and out of it. The cutouts are all appropriate sizes, they line up with the phone, and don't cause any interference with my fingers, or accessories (such as charger and headphones). The front lip of the case sticks above the iPhone screen every so slightly, enough to protect your screen from scratches while face down on a hard surface. It also has a rubbery feel to it, so your phone won't slide around on a flat surface. Bottom line is that this case is ultra-slim, ultra-lightweight, and aesthetically pleasing. If you are looking for scratch protection, minimal drop protection, and a nice looking case, then look no further. I was provided a free sample for an unbiased and thorough review.",,,,,,,,,,
5,"This headset is by far the best headset I have ever used.  It is packed full of features.  The sound quality far exceeds and other headset I have used before.  The location of the controls is ideal and it is comfortable enough to wear 8 hours a day.Pros:  Great sound quality, great controls location, good voice recognition, long talk time and standby time. very comfortable.Cons:  Firmware upgrade software difficult to get to function.",,,,,,,,,,
5,good,,,,,,,,,,
5,"I love this case, it feels solid in hand and pleasant to grip. I get a sense of comfort from how it feels if that makes any sense. The beveled edges feel much less likely to slip and as a clumsy person I've noticed how much less often I even drop it in the first place. Speaking of clumsiness, one day I crashed my bike and the phone flew across the pavement out of my backpack. There was not even a scratch on its surface!! The two other times it fell, both times it bounced harmlessly and again protected the phone. I was very tempted recently to replace it with a card-carrying case that I saw, and one reason I decided to stick with this one is because it has been so reliable. I like new stuff, but I like reliable stuff enough to stick with it. This is coming from an impulse shopper, so you know it's a strong affinity for the product when I stick with the old over the new. Yay for this case!!",,,,,,,,,,
5,very  very nice thanks,,,,,,,,,,
4,"These are excellent if you are looking to clean your electronics' screens, but don't count on these for cleaning your eyeglasses. They're fairly thin, so the little irritating smudges on your glasses will prevail over these cloths.",,,,,,,,,,
5,"My wife needed a case for her new Q10 and picked this one from a selection I presented her. So far it's been pretty nice. The case comes in two parts, a rigid frame and a soft cushioned shell. While it adds significantly to the device's bulk, it feels good in your hand and seems to offer solid protection.",,,,,,,,,,
5,"Took delivery of this yesterday, and it works as advertised on my Moto X Pure. Nice having the quick charge capability.",,,,,,,,,,
5,"Works as intended on my Samsung S8+ phone! It's thin but I like thin gloves better than not wearing anything at all during the cold winter days.  I had thin gloves like this and I hate removing them just to browse my phone while out and about.  It is black with gold metallic material, designed more for women than men. Purchased a S-M size due to my long fingers (7.75 inches from base of wrist to middle finger), it fits well.",,,,,,,,,,
2,"just not impressed with any of the protectors for iwatch.  they peel soon after putting them on.  This is my second type of trying and not impressed, decided to go without one and I have not scratched or damaged it yet.",,,,,,,,,,
4,NICE,,,,,,,,,,
5,Item is nice.,,,,,,,,,,
3,"Fits perfectly, works great, provides very good grip.Looks cheap!",,,,,,,,,,
4,I really like this case! The only thing that kept me from giving it 5 stars is that the case covers the buttons and you have to push a little harder. I've had it for about 3 days now and I am used to that already. I also love the fact that it doesn't collect dust. Overall a really good case!,,,,,,,,,,
4,Holds all sized tablets and phones without issue.,,,,,,,,,,
5,"perfect case, one of the better ones I've used.",,,,,,,,,,
5,I love this.,,,,,,,,,,
5,"I've dropped my iPhone six times now. I am very clumsy and the design of this case made me nervous but it's durable enough to protect against accidental drops.Update: 09 July 2016.So I've used this case for nine months now and the amount of times I've dropped it would shock you.  The two bottom black hinges that attaches the black frame to the red moldable cover has broken off.  For my phone's protection I am looking to purchase another phone cover.  Although I like the design of this case I want something that I can put 2-3 credit cards in so I don't have to carry a wallet everywhere I go.I wish there was a case that has a kickstand, held credit cards, was waterproof, and didn't break the bank.  I will say that the kickstand is very durable.  My phone doesn't just flop over if I touch the screen and the angle is very good for watching a show while seated in a chair.",,,,,,,,,,
3,"Cute but heavy, I still have not used it yet but definitely, I will not bring it for travel",,,,,,,,,,
5,A,,,,,,,,,,
5,Tried it as soon as I got it. Works so far. I'll post updates if anything bad happens to it or it starts to suck.,,,,,,,,,,
1,"A poor imitation of Spigen case.  Paint started wearing off almost right away, then pieces of plastic started peeling off, and ultimately they did not protect the phones, both we had got broken on the first mishap.",,,,,,,,,,
5,"We got this case for the iPhone 6SE and it fits perfectly. It also fits the iPhone 5 and iPhone 5S. A couple of years back UNU came out the AERO case for the iPhone 5 and I bought that one, but the plastic bumper barely covered the edge, fell off a lot and the buttons broke off of it. Fast forward to today and this is the same case with an improved rubber bumper that fully covers the edge and some of the face for added protection. It looks like these buttons will not break off because they are actually just bumps on the rubber bumper. This is a good charging case with wireless charging mat! As an added bonus I have attached some photos of an UNU Aero stand that I made. It rotates for landscape mode (I cut the end off a dowel, screwed it to the back and made a hole in the stand for it to rotate on).",,,,,,,,,,
5,Wonderful.,,,,,,,,,,
3,The part that the s5 fits into is a bit too big and the side buttons are all in the wrong place.  Also the magnet on the closure is weak.  Otherwise it is a nice case.,,,,,,,,,,
5,This screen is good quality. Cant really tell the difference between this and the original. But u will need 3m adhesive to install it. Not included,,,,,,,,,,
5,Quality product at a good price. Promptly delivered in secure packaging.,,,,,,,,,,
5,Slim and protective case. Adds little bulk to the iPhone while keeping it stylish. Received this product for an honest and unbiased review.,,,,,,,,,,
5,Very nice,,,,,,,,,,
5,"I wasn't sure about these waterproof cases. When it arrived, it reminded me of those plastic pencil cases we used to put in Trapper Keepers growing up. The plastic on the top functions as a clamp but while sticking our Galaxy S6 in, one of the plastic pieces popped off. I put it back but it was a pain since the material is clear and lining up the prongs with the little wholes was tedious. Our Apple 5C fit better and the Galaxy was a little tight. Granted both are enclosed in a case so they're thicker than if they were just naked. Not to mention, there's definitely more resistance with the cases on as the silicone material rubs against the plastic on this Haissky case. In order to test this waterproof case's capability to keep water out, I put tissue in the bag and left it in the sink for several minutes. I could see air in the waterproof case for sure and I even gave it a little squeeze to see if I could get some air out. Some bubbles came out, but no water ever went into the bag. The one thing you should be careful of is opening the back right side up. If there was some contact with water, water will get stuck at the top of the bag and those droplets will fall down toward the phone. Sure, they're just droplets, but I'm not risking it. My recommendation would be to open this Haissky case laying on it's side. And of course, since there is a gap between the Haissky case and the phone, we had to tap several times for the phone to respond. Before assuming this case will do the job every time, just make sure (as Haissky recommends) to check for leakage every time. A lanyard with a detachable clip is included in this package so you'll have the option of taking it off to use your phone. And finally, do not use this case to make calls. Hearing is an issue on both ends and that's understandable as the main function of this case is to protect one's phone from water damage and it definitely does that. And for those who are still using zip top bags, it'll behoove you to change over to this case because it won't accidentally become opened with the double locks.  Haissky sent us this sample for free with our commitment to use it, write a review and share it on Amazon to help others better understand their product.",,,,,,,,,,
5,"This is the perfect case for an office environment.The Nexus 5 is a nice thin phone and this is pretty much the only option I saw when shopping for a case that didn't add much thickness or bulk. This is a true bumper and only covers the edges of the phone, the entire back and camera lens is exposed.Pro:-The rubber lip around the screen edges protect that critical edge of the glass screen area from chipping or starting a crack. In my opinion is the most fragile part of a phone that is almost all screen like the Nexus 5 is.-Very light weight case, dramatically lighter than any TPU case.-When the phone is set face down the case will lift the screen slightly off the table when face down to avoid screen scratches.-Plastic sides won't catch in your pocket and make it hard to get out.Con:-When setting the phone down face up on a flat surface the camera lens edge WILL contact the desk or whatever you set it on. The phone is designed for this and the camera has a slight raised edge around the glass but if this bothers you this is not the case for you.-The buttons on the phone are covered by rubber which makes them hard to feel the ""click"" when depressed.",,,,,,,,,,
4,Ma sis loved this cover. She never stop using it. Is cute any girl wants. Alot a good complamints.soo order ur self one lol,,,,,,,,,,
5,"5 stars , I always mess up those plastic screen covers leaving bubbles and makes my screen look aweful. This screen was easy to apply very easy I thought I was going to have a task on my hands. Nope it was so easy I just lined it up and set it on the phone and took the cleaning rag to wipe it to set it to the phone, not even one air bubble my phone looks like it has nothing on it at all.",,,,,,,,,,
5,Charges quickly and easy to carry around. Love it.,,,,,,,,,,
4,"Best screen protector I've found for GS7E, and I've tried about 5 different brands. Nice curve to the edges, makes it easy to align and install.",,,,,,,,,,
1,not ok,,,,,,,,,,
4,This is a great stand but some nights it doesn't charge fully and I haven't figured out why yet. I love the look and the gold is a nice accent color on my nightstand. I would recommend this product provided the charging issue isn't a factor to the stand.,,,,,,,,,,
5,"Gift - Fits the iPhone6 pefectThe phone was dropped, and the phone is fine!!!! The case certainly took a hit and has damage, but it protected the phone.",,,,,,,,,,
5,good price and product,,,,,,,,,,
2,"Shipping was fast. This charger is not fast charging and neither are the fast charging ones that Samsung claims. The fast charging wall charger that comes with the Samsung Galaxy S7 work much faster. Don't be fooled by the ""fast charging"" label. This wireless charger works but not as advertised but is very convenient when you want to charge your phone and still have to respond to text messages. It's best for overnight charging.",,,,,,,,,,
5,"I gave up on finding a tempered glass screen protector for my S7 and ordered this screen protector, and I'm glad I did! it provides full coverage for my phone, and the touch is just as responsive as glass or bare screen, with equal visibility",,,,,,,,,,
1,The plastic broke almost immediately.,,,,,,,,,,
5,Overall great charger. Love the dual USB. Looks well made.,,,,,,,,,,
5,This case looks even better than I expected and is a great value! I Love it. This will work perfectly.,,,,,,,,,,
1,The worst. The flashlight does not work. Amazon cannot take it back. The seller does not reply to questions. Stay Away from this one.,,,,,,,,,,
5,Works great,,,,,,,,,,
3,"First off, it took me forever to finally figure out how to put this thing onto my watch.Second, once I did, the royal crown didn't turn at all! It was so tight that I had to force it to move.However, after about a week and a half of having the protector on my screen, it must have loosened up a bit because then I could turn the royal crown a little bit more.Third, it holds moisture inside of the watch.I ended up taking it off because when I work out it leaves the whole thing wet and sweaty (gross).Fourth, it has a weird looking texture in the case and it makes the screen look sort of pixilated.Fifth, the charger DOES WORK with this case on. It does not interfere at all which is something I was very worried about. But not need to be worried about it charging with the case because it will!Sixth, it does come with an EXTRA screen protector in the package that just covers the face of the watch (or at least my package had that included) so I will instead be using this so I have full function of my royal crown and it doesn't attract the moisture. This made the purchase worth it because then I had an alternative since I didn't like the case.Overall, I think that it was worth the investment, especially if you're one to bang your watch on doors and whatnot like I apparently am. However, there are some fallbacks to using this product but if you can get past those things, it works pretty well.",,,,,,,,,,
5,It works fine.  Supports quickcharge which I have verified with my Asus Zenfone2.  Capability seems about right based on number of charges I have done (and from however low the battery was).,,,,,,,,,,
2,"This white/grey case came with my LG G2.  I don't like it because its inner liner is too loose around the top and bottom edges of the front of the phone.  The outer shell is not as stiff as I'd like and the matte white finish picks up colors from whatever it rubs up against.  The inner layer does a wonderful job of covering the rear buttons while making them easier to feel, though.  I dislike this case enough that even though I already have it in hand I'll probably purchase a different ""tough"" case, such as an Otterbox Commuter.",,,,,,,,,,
3,"This case was nice and sturdy when it arrived. The colors were bold and everything was as it should be in great condition.The case goes on easily enough, although in multiple steps, and fits snugly over the phone, while still allowing you to use the buttons and other functions. The bright color makes it simple to locate and identify, and the case offers a nice bit of added protection. The multiple layers help you feel more at ease when carrying around a rather fragile looking and feeling phone. This compares to more expensive brands at a lower cost and can take a drop or impact without issue or harm to the case or the phone.That said, the rubber piece that slides over the phone started to stretch after being removed multiple times. This made it fit less snugly and allowed for some movement. It also makes getting the other pieces on correctly a little more difficult. The rotating clip was a nice feature, but it moved when bumped or pressed, which left the phone turned and in the way too many times. This was a problem playing sports, when running and even driving the car. A twist the wrong direction left it poking into my side or leg and having to be fixed.After only a few weeks of use, this was retired and replaced by an Otterbox case that worked much better for my needs.",,,,,,,,,,
5,Went on nice.,,,,,,,,,,
5,I bought this for a friend who regularly travels between Kenya and Sierra Leone. It works perfectly.,,,,,,,,,,
5,"Strong , durable ....good product",,,,,,,,,,
5,"Good to go.  So far, so good!",,,,,,,,,,
5,Good,,,,,,,,,,
4,"Yet another great case! We recently just changed from the Samsung back to Apple with the iPhone 7 and I needed cases for the entire family. After looking at more cases than I ever want to count on Amazon, I decided to go with Spigen again as I have done in the past and I was not disappointed. This is really a quality case. Very simple to put on and I have found it to be an exact fit for the iPhone 7. All the cutouts are where you would expect them to be and align perfectly with all the parts of the phone. I noticed that some cases have been covering the light sensor, not this one! Really nice corner protection in case of drop and very easy to grip. Not slippy at all in the hand. I also like the fact that it has a cutout in the back for the Apple logo. I also have screen protectors on all our iPhone 7's and found that this matches up perfectly with those giving us total protection for our iPhones. I feel very confident that if I dropped my phone in everyday use that this would provide the protection needed. It also has a raised face so if you place your iPhone glass down, the glass does not come in contact with the counter at all, once again providing great protection. We also found this to be priced right! This would great considering I had to purchase 4 of them for the family. If you are looking for everyday protection for your iPhone and you want something that compliments the looks of the iPhone and is not all bulky yet offers great protection for everyday use, this is a great case that our family would purchase again in the future. You can't go wrong with Spigen!",,,,,,,,,,
5,"I bought this for fun. It is actually prettier in person, the pictures do not do it justice.Quality: GoodShipping: TimleySeller: Great",,,,,,,,,,
5,"Great case, fits perfectly looks awesome. Very satisfied.",,,,,,,,,,
5,"I absolutely love this case! It provides great protection, and is beautiful! Shows my gorgeous rose gold iPhone.  I'm happy! ",,,,,,,,,,
2,"Upon writing this, I am working on an exchange. I will update this if the exchanged product works better.This will be a 2 part review, one for the case, one for the battery.The case get a 4\5. Awesome damage protection, no built in screen protector (Which to me is a good thing), and an open back so you only have to remove the rubber otter shell to pull the battery (Vs on the otterbox having to pull off the outer shell, inner shell, and back cover of the phone.) It also has a nice, solid belt clip.A negative about this case, and why it only gets 4 out of 5 is it is no longer waterproof, due to loosing the back cover. Also, the flap that ""covers"" the charging port does not close properly, and more or less gets in the way with the normal flap built into the phone.The battery I received is defective, and thus the reason I'm working on an exchange. I believe if the battery would last, I would give this a 5/5 despite the negatives about the case. I followed all instructions to charge the battery, leaving it charge for many hours after the phone says it charged, however I can still not get more then a days worth of light use-age, and its actually worse then the stock battery. When I receive an exchange, I will update this to reflect my new opinion.",,,,,,,,,,
5,"The Riot series cases by Caseology are unique in that they offers dual layer protection for your device without sacrificing aesthetics or adding bulk. They consist of two layers:  1) a strong rubber inner layer which includes a slight lip around the screen of the phone 2)an outer layer which is constructed of polycarbonate and includes a bumper. Combined this makes this case durable while maintaining a slim design.Please note that this case is not pink. At least not a true pink. It is more of a light coral or peachy color. Also, the back is not leather but synthetic material of some kind. I don't have an issue with that as I believe it will hold up well. I tried to get a more accurate photo of the color but it is difficult. All in all I like how it looks although I would not order it if looking for something pink. The gold accents are classy. I think the two colors combined are a nice touch. This is a case that makes a unique fashion statement.All the ports are open in the right places. The soft touch buttons function well. I'm typically a fan of cut-out buttons but this company has been winning me over with their soft button design.In my personal opinion for the current offering of $15 you can't go wrong with this case. I was provided a sample of this item in exchange for an unbiased review.",,,,,,,,,,
4,works fine.,,,,,,,,,,
5,I just love this product,,,,,,,,,,
2,"I really thought this was cool looking. I've used a number of multiple device chargers (one I dropped and broke, another I lost, and another just broke...). So, I've tested out a number of them over the years and just wanted something new and different. I love the glow it has and it is small. It works well, but after almost a month of owning it, I have been so frustrated that it topples over and ends up in my bed (it's on my nightstand) or on the floor, and the cords get tangled up. I like sleeping alone...I don't like this little guy joining me! And, if I need to access it at night and it's not in bed and on the floor instead, I don't like rolling over and almost falling out of bed to pick it up! (although, the light makes it easy to find!). There are MANY multiple device chargers out there that work very well and are also small and portable I have taken everywhere (why I dropped one and lost another...I'm very portable myself...). I looked at some I have used in the past and liked, but this one was visually appealing, had great reviews, was unique, and for about the same price. So, I went with it. Thankfully I'm still within the 30-day return window because I'm sending it back and going back to one of the other ones I've bought before that I know worked really well.",,,,,,,,,,
3,"Charges phone very quickly...if it can manage to stay inside the port. The problem with this cable although very long and effective, is that it doesn't like to stay inside the port. It falls out very easily. It feels like it's literally dangling on a string. It might just be this particular model. Because the other model I got in a different color but same length stays in very well and charges fast too.",,,,,,,,,,
3,"I just don't like the stick works off of bluetooth.  It's another thing to drain your battery.  I prefer the ones that have the cords to inset into your phone so it does not eat away your battery life. If you're using this, chances are you're on vacation so you will need your full battery as much as possible to capture all the special moments.",,,,,,,,,,
5,"The Spigen case fits my daughter's iPhone 6 properly/""snug-like"", without being bulky.  Sure, there are others, like OtterBox, that provide better protection, but ""to each, his own"".  For our application, this is ~just right~.",,,,,,,,,,
5,"This is a great charger. I use it for my iPhone 6 plus and iPad.  I've purchased other Jackery chargers as gifts and got lots of ""thank you.""  Based on that, I purchased this one for myself. It was put to use this month while my father was in the hospital and it performed perfectly. Good product, good company to deal with!!",,,,,,,,,,
5,just what I was looking foe.,,,,,,,,,,
3,"Maybe I'm just spoiled by the awesome kickstand case I had on my Galaxy S3.  But this kickstand case is just very wobbly.  When the kickstand is out and phone is in portrait mode, you cannot tap the top left of the screen without the phone falling over backwards.And when the phone is in Landscape mode, you can't tap the screen anywhere on the top 50% of the phone without it falling down.Also, the case is slighly slippery, but not terrible.  The kickstand does fold out in such a way that you can loop a finger through it, which is nice.I've been using the case for about a week now and I don't notice any gauges or scratches on the case.  The button cutouts are very, very well done.  My only real gripe about the case is the kickstand functionality.  It's just too wobbly to be functional for anything other than sitting there and watching your screen.  Forget about trying to type or tap anything.",,,,,,,,,,
4,Helped me charge my 2 batteries,,,,,,,,,,
4,Works very well! A little hard to change apps while the running but i don't think thats the products fault.,,,,,,,,,,
3,Nice clip and texture but it is very hard to remove the phone from the case!,,,,,,,,,,
5,I may be left back but I have never seen this product before and I am shocked that it has not been out everywhere. It is a no brainer to have these days that we live in selfie land. The light is strong and gets the job done. It also comes with a charging cable to charge it up when it dies.,,,,,,,,,,
5,"Great, even bought a smaller one",,,,,,,,,,
5,"So far I can't get my LG G3 to charge faster than standard USB rates with this charger. 500mA charge rate is not fast enough and I am using a charging cable rated for 2A.Update: Patozon took it upon themselves to send me another unit to try in the event the original one was defective. It is appreciated that they would do this without any effort on my part. I have continued to use this charger with the same issue and had chalked it up a fairly cheap loss and was not going to pursue a replacement. I will definitely update after I receive the new unit and am able to test it. Thank you to Patozon.Update 1/5/2015: I was sent another charger and had the same results. I'm only seeing my LG G3 draw at max in the 500-600 mA range which is not enough to charge my device significantly with the screen off and streaming a locally saved audio book via bluetooth to an earpiece. Patozan really seems to have good customer service and has continued to check in with me this rating is strictly for the product not the seller. They asked me to try charging a different device but I ordered this for my LG G3. I have a different product being delivered this week I will try.Update 2/3/2015: I've been meaning to update my review, I am now going full 5 stars. After trying a couple different higher amp chargers I had started suspect something might be wrong with my battery or phone that nothing would charge it faster than around 500mAh. I am now getting a fast charge from all my higher amp car chargers and I am thinking it was due to either or both of these things: A recent system update from sprint/LG (I originally put off taking the update but finally flashed a rooted version of it). The other thing I changed was the charger I was using at home. I had a ""trusty"" Motorola wall charger (not usb) that I had been using. I realized it was only 510mAh and a very slow charger, fine for overnight when I didn't realize how slow it really was. My guess is either the phone update corrected an issue and/or changing to the stock LG charger ""untrained"" the phone/battery from slow charging. I have an hour+ commute and now the only time I charge my G3 is on the way to/from work. I am able to bluetooth stream an audio book as well as run traffic/navigation apps and the battery will now get enough power to still top off.",,,,,,,,,,
3,"I recived my cellphone box open, but I live in Venezuela and I can't present a complaint for that. However my cell is working good and is it I bought. I like it because isn't big and heavy.",,,,,,,,,,
5,Was tired of using cheap cables so I finally bought this. I love it. Will always buy Anker cables from now on.,,,,,,,,,,
5,Best case  for I 5,,,,,,,,,,
5,"I love this case. My phone fits in it perfectly and even provides space so that if I drop my phone, the screen will not touch the surface.",,,,,,,,,,
5,good,,,,,,,,,,
3,The color is more hot pink than pink. After using it one day the hot pink smeared into the white. I ended up asking for a refund for a very inexpensive cover.,,,,,,,,,,
5,Went on pretty easy and looks good.,,,,,,,,,,
5,"Not much to say, as my incredible died about 2 weeks after getting this case, but while I had it, the case worked perfectly.  No complaints.",,,,,,,,,,
5,Good product! :D,,,,,,,,,,
5,"this case will protect your phone from any drop and the colors are cute.  However it was way too big and i ended up hating it because when i would put it on, my phone didn't look like an iPhone anymore because it was way too big.",,,,,,,,,,
5,"fast shipping, solid buy",,,,,,,,,,
1,"I made the mistake of purchasing one of these at the AT&T store for a ridiculous price compared to Amazon.  Perhaps for $10 it is worth having, but my cases has already worn away the color around the edges of the screen from playing games and using the phone.  I haven't had it for much longer than a month and the wear started to show very quickly.  Now instead of looking like a cool metallic case, it looks like a cheap while plastic case that was once painted a cool metallic color.  Not good quality.",,,,,,,,,,
4,Very nice and elegant.,,,,,,,,,,
5,High quality,,,,,,,,,,
